# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.19306E-04    -2.20     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# extinction:   Av, Rv =  0.000 3.100
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   556   37
#   1                               2                               3                               4                               5                               6                               7                               8                               9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                  36                  37
# EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_R                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3     Gemini_NIRI_BrG    WIYN_NESSI_NB832               phase
  285         1.0079181246047623E+001         2.8835686006511774E-001         2.8834753759020360E-001         3.6165618639520005E+000        -5.5712233202751904E-001         5.0110392044596512E+000        -1.6933515126112648E+000        -2.2000000000000002E+000           -2.274243           11.594856           10.841633            9.658679            8.930807            8.278250            7.427222            6.854138            6.677677            9.149490           10.111143            9.766576           11.121215            9.808359            9.212541            9.910304            8.416521            9.207487            9.900261            9.943614            8.413864            8.412479            9.213335            9.901577            8.404481            6.626386            8.151917            0.000000
  286         1.0079181246047623E+001         2.9364810555442289E-001         2.9363850118070584E-001         3.6171127648121475E+000        -5.5093613454690882E-001         5.0069188307750228E+000        -1.6787755142094580E+000        -2.2000000000000002E+000           -2.274272           11.544552           10.798320            9.618568            8.892754            8.241730            7.392597            6.820617            6.644557            9.111397           10.067785            9.726906           11.076480            9.767847            9.174555            9.870115            8.379786            9.169477            9.860140            9.903419            8.377134            8.375837            9.175331            9.861437            8.367769            6.593317            8.115604            0.000000
  287         1.0079181246047623E+001         2.9890981610549205E-001         2.9889992783521591E-001         3.6176984234825484E+000        -5.4492511463222926E-001         5.0029982493221290E+000        -1.6644108396984956E+000        -2.2000000000000002E+000           -2.274303           11.494051           10.755143            9.578763            8.855116            8.205723            7.358602            6.787784            6.612159            9.073720           10.024608            9.687561           11.031815            9.727617            9.136992            9.830221            8.343550            9.131889            9.820317            9.863519            8.340905            8.339700            9.137749            9.821594            8.331558            6.560972            8.079814            0.000000
  288         1.0079181246047623E+001         3.0369336730226432E-001         3.0368321348231303E-001         3.6183109651937944E+000        -5.3967522551119507E-001         4.9996682879626562E+000        -1.6514608946114440E+000        -2.2000000000000002E+000           -2.274323           11.446646           10.715226            9.542326            8.820920            8.173236            7.328215            6.758596            6.583436            9.039488            9.984759            9.651594           10.990377            9.690741            9.102880            9.793686            8.310822            9.097751            9.783856            9.826977            8.308184            8.307076            9.103616            9.785110            8.298857            6.532306            8.047548            0.000000
  289         1.0079181246047623E+001         3.0825389728573549E-001         3.0824348729442441E-001         3.6189720308780609E+000        -5.3489074458264141E-001         4.9966958171348121E+000        -1.6392476700172680E+000        -2.2000000000000002E+000           -2.274328           11.400258           10.676657            9.507446            8.788429            8.142598            7.299814            6.731465            6.556789            9.006963            9.946328            9.617212           10.950224            9.655389            9.070488            9.758695            8.279919            9.065330            9.748944            9.791982            8.277288            8.276284            9.071200            9.750175            8.267983            6.505719            8.017140            0.000000
  290         1.0079181246047623E+001         3.1256715943227442E-001         3.1255650609695462E-001         3.6196602091234480E+000        -5.3058068348774712E-001         4.9941190267363780E+000        -1.6278748348459309E+000        -2.2000000000000002E+000           -2.274326           11.355473           10.639904            9.474504            8.757951            8.114041            7.273587            6.706567            6.532398            8.976446            9.909777            9.584774           10.911843            9.621960            9.040106            9.725627            8.251085            9.034919            9.715959            9.758909            8.248462            8.247566            9.040795            9.717165            8.239179            6.481391            7.988819            0.000000
  291         1.0079181246047623E+001         3.1691616832449271E-001         3.1690526571614303E-001         3.6203589733998820E+000        -5.2631569174650605E-001         4.9916002338943208E+000        -1.6165497942577125E+000        -2.2000000000000002E+000           -2.274320           11.310658           10.603188            9.441638            8.727572            8.085605            7.247510            6.681834            6.508186            8.946022            9.873299            9.552407           10.873490            9.588600            9.009815            9.692626            8.222365            9.004600            9.683040            9.725901            8.219751            8.218965            9.010482            9.684222            8.210490            6.457242            7.960615            0.000000
  292         1.0079181246047623E+001         3.2125473710798341E-001         3.2124358361829319E-001         3.6210651800651537E+000        -5.2212703935494398E-001         4.9891397519495975E+000        -1.6053476628135028E+000        -2.2000000000000002E+000           -2.274312           11.266086           10.566738            9.409058            8.697492            8.057477            7.221760            6.657436            6.484320            8.915889            9.837123            9.520321           10.835404            9.555524            8.979813            9.659901            8.193952            8.974569            9.650398            9.693167            8.191345            8.190669            8.980457            9.651557            8.182107            6.433439            7.932718            0.000000
  293         1.0079181246047623E+001         3.2481534944345858E-001         3.2480398188803594E-001         3.6216382260413589E+000        -5.1873451141363291E-001         4.9871643427383248E+000        -1.5962704230260600E+000        -2.2000000000000002E+000           -2.274302           11.230024           10.537230            9.382673            8.673125            8.034689            7.200896            6.637664            6.465003            8.891475            9.807858            9.494329           10.804580            9.528740            8.955503            9.633392            8.170931            8.950237            9.623959            9.666652            8.168330            8.167744            8.956129            9.625099            8.159111            6.414171            7.910112            0.000000
  294         1.0079181246047623E+001         3.2933549997418787E-001         3.2932385691840049E-001         3.6223469847120349E+000        -5.1456909403939721E-001         4.9848009126838271E+000        -1.5851045535948818E+000        -2.2000000000000002E+000           -2.274283           11.185680           10.500932            9.350218            8.643152            8.006660            7.175238            6.613351            6.441268            8.861437            9.771894            9.462348           10.766670            9.495792            8.925591            9.600779            8.142611            8.920297            9.591428            9.634027            8.140019            8.139542            8.926193            9.592546            8.130822            6.390497            7.882303            0.000000
